0.46074,0.46074,0.46074,0.46074,0.46074
0.65862,0.65862,0.65862,0.65862,1
0.65862,0.65862,0.65862,1,0.65862
1,1,1,1,1
0.53908,0.53908,1,0.53908,0.53908
0.83131,0.83131,0.80808,0.83131,0.80808
0.83131,0.83131,0.86393,0.86393,0.83131
1,1,0.66097,0.66097,0.66097
0.5277,1,0.5277,0.5277,0.5277
0.80456,0.99256,0.80456,0.80456,0.99256
0.80456,1,0.80456,1,0.80456
1,0.77947,1,0.77947,0.77947
0.63308,0.65182,0.65182,0.63308,0.63308
1,0.52922,0.52922,1,0.52922
1,0.55261,0.55261,0.55261,1
1,0.46189,0.46189,0.46189,0.46189
1,0.5277,0.5277,0.5277,0.5277
1,0.80456,0.80456,0.80456,1
1,0.80456,0.80456,1,0.80456
0.85991,1,1,0.85991,0.85991
0.70713,0.63308,0.70713,0.63308,0.63308
0.5651,1,0.5651,1,0.5651
0.59186,1,0.59186,0.59186,1
0.489,1,0.489,0.489,0.489
0.84448,0.84448,0.61744,0.61744,0.61744
0.64953,0.64953,1,1,0.64953
0.68513,0.68513,1,0.68513,1
0.55096,0.55096,1,0.55096,0.55096
0.48397,0.48397,0.48397,0.76677,0.76677
0.41294,0.41294,0.41294,1,0.41294
0.42705,0.42705,0.42705,0.42705,1
0.37077,0.37077,0.37077,0.37077,0.37077
